,holiday,workingday,temp,atemp,humidity,windspeed,casual,registered,count,day,month,year,hour,weather_1,weather_2,weather_3,weather_4,season_1,season_2,season_3,season_4
0,0,0,9.84,14.395,81,0.0,3,13,16,5,1,2011,0,True,False,False,False,True,False,False,False
1,0,0,9.02,13.635,80,0.0,8,32,40,5,1,2011,1,True,False,False,False,True,False,False,False
2,0,0,9.02,13.635,80,0.0,5,27,32,5,1,2011,2,True,False,False,False,True,False,False,False
3,0,0,9.84,14.395,75,0.0,3,10,13,5,1,2011,3,True,False,False,False,True,False,False,False
4,0,0,9.84,14.395,75,0.0,0,1,1,5,1,2011,4,True,False,False,False,True,False,False,False
5,0,0,9.84,12.88,75,6.0032,0,1,1,5,1,2011,5,False,True,False,False,True,False,False,False
6,0,0,9.02,13.635,80,0.0,2,0,2,5,1,2011,6,True,False,False,False,True,False,False,False
7,0,0,8.2,12.88,86,0.0,1,2,3,5,1,2011,7,True,False,False,False,True,False,False,False
8,0,0,9.84,14.395,75,0.0,1,7,8,5,1,2011,8,True,False,False,False,True,False,False,False
9,0,0,13.12,17.425,76,0.0,8,6,14,5,1,2011,9,True,False,False,False,True,False,False,False
10,0,0,15.58,19.695,76,16.9979,12,24,36,5,1,2011,10,True,False,False,False,True,False,False,False
11,0,0,14.76,16.665,81,19.0012,26,30,56,5,1,2011,11,True,False,False,False,True,False,False,False
12,0,0,17.22,21.21,77,19.0012,29,55,84,5,1,2011,12,True,False,False,False,True,False,False,False
13,0,0,18.86,22.725,72,19.9995,47,47,94,5,1,2011,13,False,True,False,False,True,False,False,False
14,0,0,18.86,22.725,72,19.0012,35,71,106,5,1,2011,14,False,True,False,False,True,False,False,False
15,0,0,18.04,21.97,77,19.9995,40,70,110,5,1,2011,15,False,True,False,False,True,False,False,False
16,0,0,17.22,21.21,82,19.9995,41,52,93,5,1,2011,16,False,True,False,False,True,False,False,False
17,0,0,18.04,21.97,82,19.0012,15,52,67,5,1,2011,17,False,True,False,False,True,False,False,False
18,0,0,17.22,21.21,88,16.9979,9,26,35,5,1,2011,18,False,False,True,False,True,False,False,False
